Yas;Departman;Evden_Uzaklik;Egitim_Seviyesi;Egitim_Alani;Cinsiyet;Is_Memnuniyeti;Medeni_Durum;Aylik_Gelir;Onceki_Sirket_Sayisi;Fazla_Mesai;Toplam_Calisma_Yili;Sirketteki_Yil;Son_Terfi_Suresi;Is_Seyahati;Is_Yasam_Dengesi;Is_Seviyesi;Maas_Artis_Yuzdesi;Ortam_Memnuniyeti;Mevcut_Mudurle_Yil;Istifa
41;Satış;1;2;Yaşam Bilimleri;Kadın;4;Bekar;5993;8;Evet;8;6;0;Nadiren_Seyahat;1;2;11;2;5;Evet
49;Araştırma ve Geliştirme;8;1;Yaşam Bilimleri;Erkek;2;Evli;5130;1;Hayır;10;10;1;Sık_Seyahat;3;2;23;3;7;Hayır
37;Araştırma ve Geliştirme;2;2;Diğer;Erkek;3;Bekar;2090;6;Evet;7;0;0;Nadiren_Seyahat;3;1;15;4;0;Evet
33;Araştırma ve Geliştirme;3;4;Yaşam Bilimleri;Kadın;3;Evli;2909;1;Evet;8;8;3;Sık_Seyahat;3;1;11;4;0;Hayır
27;Araştırma ve Geliştirme;2;1;Tıp;Erkek;2;Evli;3468;9;Hayır;6;2;2;Nadiren_Seyahat;3;1;12;1;2;Hayır
32;Araştırma ve Geliştirme;2;2;Yaşam Bilimleri;Erkek;4;Bekar;3068;0;Hayır;8;7;3;Sık_Seyahat;2;1;13;4;6;Hayır
59;Araştırma ve Geliştirme;3;3;Tıp;Kadın;1;Evli;2670;4;Evet;12;1;0;Nadiren_Seyahat;2;1;20;3;0;Hayır
30;Araştırma ve Geliştirme;24;1;Yaşam Bilimleri;Erkek;3;Boşanmış;2693;1;Hayır;1;1;0;Nadiren_Seyahat;3;1;22;4;0;Hayır
38;Araştırma ve Geliştirme;23;3;Yaşam Bilimleri;Erkek;3;Bekar;9526;0;Hayır;10;9;1;Sık_Seyahat;3;3;21;4;8;Hayır
36;Araştırma ve Geliştirme;27;3;Tıp;Erkek;3;Evli;5237;6;Hayır;17;7;7;Nadiren_Seyahat;2;2;13;3;7;Hayır
35;Araştırma ve Geliştirme;16;3;Tıp;Erkek;2;Evli;2426;0;Hayır;6;5;0;Nadiren_Seyahat;3;1;13;1;3;Hayır
29;Araştırma ve Geliştirme;15;2;Yaşam Bilimleri;Kadın;3;Bekar;4193;0;Evet;10;9;0;Nadiren_Seyahat;3;2;12;4;8;Hayır
31;Araştırma ve Geliştirme;26;1;Yaşam Bilimleri;Erkek;3;Boşanmış;2911;1;Hayır;5;5;4;Nadiren_Seyahat;2;1;17;1;3;Hayır
34;Araştırma ve Geliştirme;19;2;Tıp;Erkek;4;Boşanmış;2661;0;Hayır;3;2;1;Nadiren_Seyahat;3;1;11;2;2;Hayır
28;Araştırma ve Geliştirme;24;3;Yaşam Bilimleri;Erkek;3;Bekar;2028;5;Evet;6;4;0;Nadiren_Seyahat;3;1;14;3;3;Evet
29;Araştırma ve Geliştirme;21;4;Yaşam Bilimleri;Kadın;1;Boşanmış;9980;1;Hayır;10;10;8;Nadiren_Seyahat;3;3;11;2;8;Hayır
32;Araştırma ve Geliştirme;5;2;Yaşam Bilimleri;Erkek;2;Boşanmış;3298;0;Evet;7;6;0;Nadiren_Seyahat;2;1;12;1;5;Hayır
22;Araştırma ve Geliştirme;16;2;Tıp;Erkek;4;Boşanmış;2935;1;Evet;1;1;0;Seyahat_Etmiyor;2;1;13;4;0;Hayır
53;Satış;2;4;Yaşam Bilimleri;Kadın;4;Evli;15427;2;Hayır;31;25;3;Nadiren_Seyahat;3;4;16;1;7;Hayır
38;Araştırma ve Geliştirme;2;3;Yaşam Bilimleri;Erkek;4;Bekar;3944;5;Evet;6;3;1;Nadiren_Seyahat;3;1;11;4;2;Hayır
24;Araştırma ve Geliştirme;11;2;Diğer;Kadın;3;Boşanmış;4011;0;Hayır;5;4;1;Seyahat_Etmiyor;2;2;18;1;3;Hayır
36;Satış;9;4;Yaşam Bilimleri;Erkek;1;Bekar;3407;7;Hayır;10;5;0;Nadiren_Seyahat;3;1;23;3;3;Evet
34;Araştırma ve Geliştirme;7;4;Yaşam Bilimleri;Kadın;2;Bekar;11994;0;Hayır;13;12;2;Nadiren_Seyahat;3;3;11;1;11;Hayır
21;Araştırma ve Geliştirme;15;2;Yaşam Bilimleri;Erkek;4;Bekar;1232;1;Hayır;0;0;0;Nadiren_Seyahat;3;1;14;3;0;Hayır
